c_custkey,c_name,c_address,c_nationkey,c_phone,c_acctbal,c_mktsegment
90535,Customer#000090535,AKKkelPO5FS9NFrHXSo011uc4C,5,15-101-201-1838,3678.75,BUILDING
113251,Customer#000113251,"Bar,6U8SRU9 ,9R,vEjVJdeSYmzNQLk",13,23-784-171-3211,3230.75,BUILDING
35206,Customer#000035206,m3Jg4z8HI2BxRw,16,26-937-494-9351,5491.54,HOUSEHOLD
12422,Customer#000012422,m9Ar4UNPSBczv9e3ZfXuIZG5wY,13,23-593-246-7059,1451.11,BUILDING
28201,Customer#000028201,dGMPHBW7xnOxKEWbfk0fUEo2sFF,1,11-801-287-1228,518.89,BUILDING
30664,Customer#000030664,fmoUEwcPDrBpWyW21ZshrhYxeZzDxS6,20,30-323-191-6736,1127.92,BUILDING
54110,Customer#000054110,"crA31TC2pkF9P,WpHjoO3",2,12-681-931-5101,7738.59,HOUSEHOLD
99349,Customer#000099349,NHyPZLTr4olOiSPYT F 6zC,3,13-594-489-4317,-139.96,FURNITURE
97292,Customer#000097292,9r7HXpeBhAqgcdLtWCdo,0,10-709-567-5163,9917.45,FURNITURE
17701,Customer#000017701,KdCJLki7Xwu2ptasBlq,18,28-255-654-3062,6995.42,FURNITURE
134386,Customer#000134386,jxpdOmFRD3AWCFtPCbs Rc1L 01jbZhzGJ8,5,15-119-240-9814,9073.31,HOUSEHOLD
307,Customer#000000307,xvkJ13gs7GH,13,23-836-934-5394,346.59,FURNITURE
49132,Customer#000049132,jCZuxGHZce3F3AN0rkzxfrW72,22,32-692-571-8499,1626.55,FURNITURE
104641,Customer#000104641,vrjqSZkk s6tdm5lqhCbllndRqBvFKmkug0l,9,19-136-467-5068,584.48,HOUSEHOLD
129362,Customer#000129362,"yv7g,UkCvxR2sgQTsJPKEhu",22,32-717-807-9226,8314.85,HOUSEHOLD
115787,Customer#000115787,35HFX0gxtJJ8J6auUMYFQ6DV59hn,6,16-719-507-6092,8559.26,BUILDING
79981,Customer#000079981,",vOqGTGhacuhl",19,29-987-438-3707,4202.60,BUILDING
138013,Customer#000138013,rtkk3ZwT8d9emMnF7o,13,23-235-304-9207,8131.83,FURNITURE
131353,Customer#000131353,YXRZM7nZgN6,16,26-781-198-9339,2478.14,HOUSEHOLD
49679,Customer#000049679,Yb1tUsKCyOx8qN8ytJHI,1,11-489-645-3962,3366.31,MACHINERY
77365,Customer#000077365,cGSmGGJGR2ttElB2RPVZI1nba0yZbIq,8,18-677-541-4835,-540.54,MACHINERY
140944,Customer#000140944,7jC6NMRaVB57MTQktUDeD6Y8md,18,28-810-827-1791,6773.64,MACHINERY
134146,Customer#000134146,"2OOvDIurrUEFpdi3nbfYSbfLsdgNz,25YxerC",8,18-227-143-4142,5988.51,FURNITURE
113762,Customer#000113762,lDDdJ0WODZe,9,19-950-412-5225,3329.45,MACHINERY
146185,Customer#000146185,PWuRxRmHQFcgwjVEOVVntZbEMek,10,20-821-191-3785,6888.54,BUILDING
44405,Customer#000044405,"PQz4Qik8w0pY1DQYqwqzye5T5vbE a,83Vs",10,20-973-712-9466,8641.23,MACHINERY
48403,Customer#000048403,"LqPenCvrCPrz9AuB,MKIqGLMuHPlBt",2,12-894-249-5575,-466.51,FURNITURE
42220,Customer#000042220,uV1GMUZw3rXuya,3,13-685-131-1769,2709.64,AUTOMOBILE
146224,Customer#000146224,EDuY5CHZSjgr,6,16-370-678-5210,3442.25,FURNITURE
124366,Customer#000124366,nvdfbuxyv7np1z,9,19-876-837-9221,5645.46,FURNITURE
79726,Customer#000079726,ASD1S93rjfAck QaONOj9Ekx6h1XOoF,24,34-420-927-4757,-321.10,FURNITURE
34909,Customer#000034909,kZUTCK4q0h,4,14-621-206-9787,2133.80,MACHINERY
45446,Customer#000045446,"xcA,VRzU0fqlNbQF8jfFYw5FnqwfeIlA6aSnoN",14,24-183-530-5859,440.54,BUILDING
70466,Customer#000070466,Ms3rDwnRBop0if2ezw1WlC0b9kbme,12,22-719-962-8847,1168.26,FURNITURE
106558,Customer#000106558,"8vzAsWx,9awuza6zGq",8,18-152-617-6520,8464.22,AUTOMOBILE
90379,Customer#000090379,rOdic4aSB3fxKuiM,4,14-910-306-5408,3087.82,FURNITURE
16967,Customer#000016967,IKIvGnD9Bl2p,21,31-776-884-3035,6378.27,MACHINERY
122120,Customer#000122120,"uOX,iZJJTnc",0,10-639-243-7846,6238.52,MACHINERY
45587,Customer#000045587,dzqNSNmgqoYfbYmG47lrGEoP4OxAQos4biw,20,30-875-390-2321,861.21,FURNITURE
17122,Customer#000017122,whbmmLhtFpj2tJse,9,19-459-427-2283,8266.78,BUILDING
88168,Customer#000088168,hhH1ldKDgKip1VUbRj4PWBPSnEY,8,18-854-458-2612,4819.63,AUTOMOBILE
30136,Customer#000030136,A5robj8iMVzCZf qv25w4w2hbYa,21,31-378-687-4677,8515.11,BUILDING
131425,Customer#000131425,P8vjFTv0mzmLMsDOIbetrx,19,29-476-402-2128,-439.66,BUILDING
108779,Customer#000108779,"4z,lDVZfzCc",10,20-216-984-4788,9297.16,AUTOMOBILE
124816,Customer#000124816,"EJ2,clD A,FuoRzzFnmu05zw4E5Nr,QgCZogZNTy",14,24-755-111-1628,6044.35,FURNITURE
95257,Customer#000095257,aYNvFHtnZ3nfM3KhZSS6aIZbWfj407VfjEyQ8O,2,12-704-221-9665,7192.11,HOUSEHOLD
64541,Customer#000064541,eAqYeDnwfy29pYlGi,2,12-588-558-7411,1441.47,MACHINERY
52046,Customer#000052046,bNJSG7VRuTzMjAK,11,21-985-739-1223,6630.08,BUILDING
124042,Customer#000124042,ShEuRHGeFEHZKQgMLOajAP7v,17,27-789-207-2629,4789.62,HOUSEHOLD
5683,Customer#000005683,JFNWP2XIR1KMIp8iTr4pOGlQrUjvhkJ0t,4,14-495-619-6346,3481.82,AUTOMOBILE
82414,Customer#000082414,NOAK  n0NdC4DZ6NDg,23,33-834-953-5539,47.42,BUILDING
27749,Customer#000027749,"qUof4gw9jAGfM 7tM809z2K,2TP1qKNTxls",2,12-982-836-4889,7057.27,FURNITURE
5266,Customer#000005266,"eBRpfy,FgeGjgaXlU",11,21-852-199-5188,796.51,FURNITURE
29302,Customer#000029302,"NMAYZm,Obw9EZ1Z9OzEUuO",21,31-805-299-7421,4835.57,BUILDING
73519,Customer#000073519,q Suje9RifkkG8uq,2,12-520-165-7862,3310.10,HOUSEHOLD
85792,Customer#000085792,3QiPm2fAXZ4kemn3jQ,0,10-196-423-2258,1072.89,BUILDING
117868,Customer#000117868,"enq4Q777CpxLqXIM1TmlojmjF7nU5,q",17,27-147-917-2115,4747.62,FURNITURE
6239,Customer#000006239,PklZCqNbiyA9,22,32-305-456-4164,1007.44,AUTOMOBILE
77707,Customer#000077707,rD6rq4VtF3FPT,14,24-460-175-5188,2709.66,MACHINERY
16151,Customer#000016151,GxtwOi6OEhAZNESslfa1RC21DqxFnE81Dv5,7,17-183-618-4880,-723.19,BUILDING
33050,Customer#000033050,KJCZVmJxOiHR,2,12-928-933-9385,5004.78,BUILDING
141139,Customer#000141139,FDQUrfw4PM3BHaxirT40yd0Z1aptE1bhSAJ,11,21-374-601-9373,1102.14,MACHINERY
15800,Customer#000015800,aAkI36BASNJmRMz9g7USzntvSTmipBBnPzV0,17,27-776-528-9904,6642.54,BUILDING
62233,Customer#000062233,EVesaOO5hXreAcHQGI3s xfijdpQFrpqHGd1,9,19-637-978-9688,8809.52,FURNITURE
137518,Customer#000137518,U9M1Qf1sjzZb5z,19,29-244-997-1347,3597.73,MACHINERY
100861,Customer#000100861,ylSgdlDOO7xKxWQtJ4qz172fkQYZNS,14,24-916-512-5870,2585.24,MACHINERY
73318,Customer#000073318,Nb974jULXKFbmcZBWclsHGNR38MFSEbW7,16,26-914-297-1588,5372.57,MACHINERY
96139,Customer#000096139,"YVCBOscDYzzjp6dVzqva B9T,",6,16-383-862-7032,4077.76,HOUSEHOLD
58688,Customer#000058688,NgoRL6ostofWS6sx,18,28-958-975-6076,4064.29,FURNITURE
56938,Customer#000056938,S92ivp7FOTvCVT5G6lEA9gaA8OUiCmTC4lEkM0M,8,18-318-917-6321,599.82,AUTOMOBILE
148579,Customer#000148579,"sURYMibArGuRN,neJX2NCZao OSXF7xZun",19,29-330-184-9772,9141.60,BUILDING
87523,Customer#000087523,5X1Cr6S4JBwhtZdA0rUcq8MzWsnkWIHh,10,20-597-686-8201,1506.30,BUILDING
33817,Customer#000033817,zYl4tnCizvt6tIHOZ6Qk,12,22-922-251-4497,447.71,FURNITURE
115841,Customer#000115841,x4r6k3sYJyOrf8q5t9dFmvNIy2b2BBO2s4eETwwK,18,28-216-841-7740,3246.14,MACHINERY
69329,Customer#000069329,rQ3s2a70Om ZlyGZQ,15,25-771-180-7287,-982.56,HOUSEHOLD
48092,Customer#000048092,d23GRvdQEyHbCknn,7,17-646-860-3547,-893.28,AUTOMOBILE
99859,Customer#000099859,2SaExYKTy2OVP n,24,34-859-430-1944,9183.61,BUILDING
37240,Customer#000037240,Lw075s mnORnTCUylW4oxZfVQ7P,10,20-695-783-1626,6944.44,MACHINERY
20066,Customer#000020066,fK7HiUG1 0i0ERP7,9,19-629-276-3334,5426.74,HOUSEHOLD
64969,Customer#000064969,2G8hU79qX21gcQ5ZWYzjDWduahkxs5X0dM4Lf,18,28-356-857-9592,5217.64,HOUSEHOLD
94960,Customer#000094960,RRaTqLi7Gkoyb86BiHde1j5F,6,16-985-492-9252,4829.45,BUILDING
142483,Customer#000142483,p0vFncfsPluZkzZkQwpK9,3,13-608-745-8270,8943.68,HOUSEHOLD
24094,Customer#000024094,1QEiWFcvBvQzMaPJnQsUCzC33smP,2,12-546-229-7242,884.40,AUTOMOBILE
65249,Customer#000065249,"dTzZigZT,FGLyaLr8pJw,BK9SgoB",6,16-120-543-1979,-621.63,BUILDING
69355,Customer#000069355,gZQVhVUFOO,6,16-851-673-8257,2810.04,MACHINERY
5380,Customer#000005380,"oQuAGt4g40dlYnsR,9GnTCpe6BHPFKFdFPm8XBUu",19,29-549-301-5734,2991.38,HOUSEHOLD
54691,Customer#000054691,PMj8yqhY1Pj,13,23-528-567-7632,6637.13,FURNITURE
42178,Customer#000042178,ZqFKtd6dIfRsmaD0TKdRXOqnkLPU1iE78TMJ,21,31-614-142-2450,140.03,HOUSEHOLD
38815,Customer#000038815,"XbXe4EWuvK8F,OPD0di2M9tmVZjI1v9W",9,19-272-718-5435,2181.64,MACHINERY
42227,Customer#000042227,sOzBTUJo4mJ 0WpCqCjn,12,22-248-201-5023,-381.47,FURNITURE
36716,Customer#000036716,ZAvLuiQDTgkEZF9KjhEQ63j0,8,18-810-598-5911,103.11,FURNITURE
39058,Customer#000039058,eUlDXD4Ad6QIv2o1 TmSAIS,2,12-740-572-1713,8816.41,BUILDING
106210,Customer#000106210,YuWYcbUUfrkHjHIlfnCevJT730,18,28-518-567-9600,550.08,AUTOMOBILE
45557,Customer#000045557,"quuupxG,ki76Uu7l Mz1p3SIpIbqkqP5PC",11,21-772-472-3795,-751.49,BUILDING
61999,Customer#000061999,PKXzcanJAPHG2NuGGtuCBOP4Mfum7Fg8tuL,10,20-296-531-9136,1660.59,HOUSEHOLD
54128,Customer#000054128,8nYEoSx0MN4kU1 4I2NIMc5 LUPohjZ,3,13-546-145-3247,8192.07,FURNITURE
128947,Customer#000128947,JVwAY61sC6DlvJu8SBC2Ek,2,12-588-101-4968,7913.41,BUILDING
111616,Customer#000111616,d2z1xo mnt,23,33-431-637-2485,1127.24,BUILDING
38515,Customer#000038515,sx1Ii9zNFIACC00hy8 yZxtYZFu3mZV,23,33-597-910-9670,8119.61,AUTOMOBILE
60469,Customer#000060469,eS5lyG0CRgbTtZP6V9o09WPh7P0jxqOaU7u,18,28-765-965-8370,1484.46,FURNITURE
44830,Customer#000044830,"6bH86Ytj8kTwrLgVIi9uBhiiqv17YS6wk,gVzPw ",9,19-401-556-2171,3028.73,MACHINERY
1925,Customer#000001925,qZ8m0grVeRJN9h6Bn,0,10-814-492-1424,8891.65,HOUSEHOLD
20140,Customer#000020140,EtKCRLBgxZW0Jf,13,23-317-557-3632,4503.65,AUTOMOBILE
50821,Customer#000050821,29FBH81C4sbinyZq0zgNncYonqlQIq3f5hV5hNQr,8,18-968-453-6354,5195.86,MACHINERY
10072,Customer#000010072,Cm40nn4aSi7kWPiBts49u,21,31-229-677-1090,7332.59,AUTOMOBILE
21449,Customer#000021449, osHaiANhtsfpVFwjyVc,17,27-834-589-2076,9088.83,AUTOMOBILE
133231,Customer#000133231,e4WmBX3gMdenRL0wo7,15,25-198-124-9762,4477.86,AUTOMOBILE
109450,Customer#000109450,"gJK9yxJpjIMQ592FkBsxCvSjtCOcicnp1x,2",15,25-932-599-2686,7186.58,FURNITURE
31034,Customer#000031034,6QhbEy8bSg1TGc9cu1mybxrs5AnyZHebrOqeY,9,19-593-543-9505,1890.55,MACHINERY
73487,Customer#000073487,WbqSgYeIY6a0LMRcKTP2xSGvegiXTyKDpv,17,27-447-278-8373,344.51,BUILDING
106468,Customer#000106468,"3FZqCq7jXt,RX,56w77t50X2TKgTqb",17,27-136-609-5753,9666.78,HOUSEHOLD
116452,Customer#000116452,"ueq4F,Sa3HuoOsPijsUS",5,15-844-208-7987,2234.31,FURNITURE
117365,Customer#000117365,4QJcR2mJt9mSpQsZB,0,10-545-589-8236,-378.40,BUILDING
70678,Customer#000070678,8W3IRwrpxOVm,20,30-891-790-5729,-910.42,MACHINERY
138871,Customer#000138871,78CzgX41TSBkQynaPMwXYBSU3AuiVh0D,21,31-104-145-2337,8087.07,HOUSEHOLD
89965,Customer#000089965,jywngS9dxdYym5bCkOzFNxDVv,9,19-803-384-2163,8797.38,MACHINERY
71356,Customer#000071356,"oHk4T3,emS5reUK1tDVs",0,10-998-961-6894,6111.42,HOUSEHOLD
95752,Customer#000095752,5jzeljJAnwHZvOi6T5jiVhcH,11,21-314-946-8230,379.02,BUILDING
37612,Customer#000037612,o5J7xZu2nNPfid0xqNNwNcelUOgZ3,1,11-129-570-8317,1320.20,MACHINERY
145685,Customer#000145685,"r4PgHFyNpOLEFCUbKUMvjHfME,3Uf",8,18-112-712-6344,3098.62,FURNITURE
46777,Customer#000046777,"gqckfTW,603H20JVyX1dN4M2VYmsAH32dVsymhPT",18,28-726-775-9092,9822.44,FURNITURE
48916,Customer#000048916,JxpfuNM TtbT92PaTYKx2cAyW5oVjRTM67CMN,24,34-782-537-9359,6688.76,AUTOMOBILE
62569,Customer#000062569,"sgZoGNZd5G hxqCdf8oA0AdrzoDJa,WPHrqU X",2,12-397-854-1444,3797.87,MACHINERY
114076,Customer#000114076," eEaTT,JgOHI5BKaswBW5Y1hY9zco38k",12,22-799-909-4617,-902.06,BUILDING
114529,Customer#000114529,"PWEEsbcp3,un9ck7FJK1ghL5tQQZ",10,20-814-491-9482,-895.04,AUTOMOBILE
147757,Customer#000147757,"lvHIjEAjZ4UT,964aODGGRmiCdwHK5qZVfLyYp",20,30-243-879-5332,9381.42,MACHINERY
52834,Customer#000052834,Kj01 fyYS3OlC0t0U9rcU1k,24,34-490-730-6916,7030.18,BUILDING
138272,Customer#000138272,BfYYfDx8unWTNgFnx1 wyuubkxlwLhgJLWojoZSQ,20,30-471-201-3335,9492.74,HOUSEHOLD
14365,Customer#000014365,"8ZN6Li6oO8rHlYGmY3cU9bwzeL,9md2G0rQe",3,13-982-484-4459,8577.26,BUILDING
127300,Customer#000127300,M4xc4bAD1ONdS7N0E3QJNr3fKN1,18,28-102-487-6144,9214.48,BUILDING
111457,Customer#000111457,1 R2V6OE63KKBa8OEY4pWX,13,23-824-647-6696,1336.99,HOUSEHOLD
124838,Customer#000124838,1aQtaNunNvpqjPz7uPlXMTe665l,8,18-487-343-6351,3078.77,HOUSEHOLD
52688,Customer#000052688,l1TtyeQzyj1hEKo5dNY76E6bN07fY,3,13-586-851-2071,3847.46,AUTOMOBILE
16048,Customer#000016048,VLGZ3ekRm2MBOhZ2777RE65s,10,20-350-908-7197,2709.71,FURNITURE
38776,Customer#000038776,1vDm0KU xSYgOxiUACtFgHc888GRXwc,21,31-707-157-4253,5754.84,AUTOMOBILE
39971,Customer#000039971,roE3YrkcD8Sc5WNpxM,13,23-639-420-3449,2906.98,FURNITURE
27781,Customer#000027781,"KyJVnqiyk,tDfT",22,32-451-880-3096,291.49,BUILDING
147364,Customer#000147364,"absvhHfPvnrl0h gERJIi3agG7Zw,vjrjGwlq",6,16-741-574-3325,3191.38,FURNITURE
79259,Customer#000079259,czPEwIw1C6HjMYMJCBvkN77n,9,19-756-912-9544,8135.93,MACHINERY
107851,Customer#000107851,GQwf7MVHTV5cVr0mKQdx,19,29-185-260-9647,4270.02,BUILDING
36175,Customer#000036175,aqJunZ lI5,16,26-345-621-8486,3509.71,AUTOMOBILE
79810,Customer#000079810,"VFybb,TKY3fIrG",8,18-738-827-5917,1769.88,MACHINERY
139405,Customer#000139405,"HEvf6lGV0f0L4MUW,mm6oADMpdOIo",16,26-720-635-8576,1450.76,HOUSEHOLD
69506,Customer#000069506,fZYhSh3yEfSZ3IzuzKLehR9oyBI82QnXV,1,11-819-772-8901,9785.75,HOUSEHOLD
7087,Customer#000007087,"t,xEw3lrtVuWOO5Vb4aEc",24,34-690-559-6597,9403.79,MACHINERY
49645,Customer#000049645,"oC0jdj w6WyKriFctuOe5i,2LlZ",1,11-776-201-3058,7239.56,BUILDING
102136,Customer#000102136,EViqJV0AtWKNezkwWG1LKKlSa,11,21-624-407-6984,3212.24,MACHINERY
16366,Customer#000016366,"P5Ut VuyWA ovsR2,DQOid0ubU2s8PpJV",22,32-346-173-6062,2644.43,FURNITURE
55174,Customer#000055174,xrbmlCvAjOrtdrsukD,20,30-100-367-9772,3648.46,MACHINERY
14467,Customer#000014467,AnlGjDqxToQFjfz06h,5,15-734-869-8547,3501.32,MACHINERY
94396,Customer#000094396,1xsWjUKuYv,20,30-612-607-1036,4887.31,MACHINERY
136102,Customer#000136102,"QziuQqqXrA3DSldV3P2F04GQ8RFA,",3,13-164-329-8698,6800.01,FURNITURE
21421,Customer#000021421,Qtt4p8R0my3N4T28MJKj6hAyr LDDmNAAC9,2,12-376-453-3904,6368.05,MACHINERY
114863,Customer#000114863,OXeZd9bX7ioagbzcBh,8,18-834-659-3638,8217.86,AUTOMOBILE
6931,Customer#000006931,DJcGXg0BrP1ibpV7UCxEaK5OXy yCckOACzF,24,34-282-643-3571,1402.40,HOUSEHOLD
82429,Customer#000082429,0JlJlhGx9XuQDFEaDJ9XdiOOuQfLwQNhcu,20,30-176-152-5334,7438.61,HOUSEHOLD
16561,Customer#000016561,tbJlyQK0iR4Ld2PBe6EMqXvyvY9INsEB,22,32-951-112-9607,5865.12,MACHINERY
100141,Customer#000100141,"V4z0Ps,qWWJ99IMqJkZ5OR PM0JMVAc9",23,33-155-866-3623,4353.09,BUILDING
127615,Customer#000127615,wIVf2xHZ2yndpu,17,27-123-797-3307,5562.70,HOUSEHOLD
72530,Customer#000072530,"UQIOniUxbeM,7NQB4ThZEjZ",18,28-892-383-4074,2032.62,MACHINERY
25423,Customer#000025423,"y fRLEY1OPI,v85F9gaWoCln1QbjInl",12,22-332-677-4279,7536.17,BUILDING
118664,Customer#000118664,"K,42MEIVIo6m l2",24,34-670-199-7472,9461.78,BUILDING
99130,Customer#000099130,"jmlM0 ietrGtEjnrLGIDofRYP0h,Jtqd",15,25-308-361-8644,8504.79,FURNITURE
7376,Customer#000007376,9zym47mTaWnZQiBilasu8AptQYZxD,5,15-149-875-1198,5748.54,FURNITURE
135526,Customer#000135526,MuTc85wj4KkuctjPVFRn2oS0,12,22-352-868-6638,8033.07,BUILDING
97255,Customer#000097255,"V,qwYXf2iddFzcW5NvDujSkNs2",9,19-198-358-5518,7328.09,BUILDING
32737,Customer#000032737,"0Fkztlvw5CHg2nns,F",14,24-688-777-8235,1898.40,AUTOMOBILE
101332,Customer#000101332,jQnBjcNEX11JT0vE1UJxBPq1xj BFWHL5RL,2,12-667-654-1218,3640.44,FURNITURE
113083,Customer#000113083,"UtDL00y,izPKREg v4DvexUOjT816yN",6,16-982-446-6072,1609.96,FURNITURE
65167,Customer#000065167,aqM3Kmlb 7,20,30-821-430-6135,6808.03,HOUSEHOLD
104272,Customer#000104272,Onubps2VkkuIklZ qJMh750kpVxX,14,24-731-296-3032,8632.42,AUTOMOBILE
49549,Customer#000049549,q9LNS1VQ1MBVjOqR4,12,22-374-163-6671,8104.57,AUTOMOBILE
67994,Customer#000067994,mkugDpEI9ZtwgNDLHScB1U5,8,18-997-145-3403,797.42,FURNITURE
27587,Customer#000027587,KIVt1nhZAnPoY3QgEZIyHH1uoq2,23,33-889-404-8002,3287.90,FURNITURE
62020,Customer#000062020,COYnMuAUCcAXq32upopgkL4mUz6GVjBO0d,7,17-787-117-6735,8940.69,MACHINERY
119867,Customer#000119867,d8E9wi9Bf4o,5,15-588-161-7306,9383.06,BUILDING
109690,Customer#000109690,LZxLTqwAGguCt6BRZ bGdHNsI wO3 DkGbzYlN,24,34-295-422-3969,-54.96,AUTOMOBILE
55606,Customer#000055606,ueTMUyrv pAGOUYYURNnpHELHuJ5lsOWFiBm,18,28-167-724-8642,8599.86,MACHINERY
110377,Customer#000110377,"PiVyjvVwVPacupNUR77,CItwCxFOqZTXxQMMQR",0,10-783-542-2345,4850.81,FURNITURE
105868,Customer#000105868,8ZhAQdefih6oprczy2AJ,3,13-626-386-4156,5801.24,AUTOMOBILE
40825,Customer#000040825,c1FvB02tj3bePH,7,17-241-846-2545,9068.46,FURNITURE
28585,Customer#000028585,uKEoYDBJUkFRtY3rkVF2E07Ui9KQvjc9I,18,28-977-805-3577,9097.50,AUTOMOBILE
120602,Customer#000120602,lxTTpk0Q2EOhyI,15,25-952-994-7539,6064.21,MACHINERY
34394,Customer#000034394,"93R2vTHM,zHHZk1Xi5tHbvIp9pe",10,20-507-529-9789,1901.15,BUILDING
59665,Customer#000059665,"6cOJoOCE4FOhfeGaV7eD1 RZk4CDF5tgBe,6JF",5,15-932-693-5803,3423.56,AUTOMOBILE
64,Customer#000000064,"MbCeGY20kaKK3oalJD,OT",3,13-558-731-7204,-646.64,BUILDING
122977,Customer#000122977,"tNQ,BpFj67djtl9u7q1yNpuMvnn3CUC8E Z",12,22-792-369-7132,5064.88,HOUSEHOLD
74966,Customer#000074966,cDK6sGtx5Kx RmjeSGk,14,24-222-826-7364,-392.87,HOUSEHOLD
78629,Customer#000078629,"ptiOz5jxPMZDokn1rGiF5S29fPtcegGwCG,gT",14,24-611-788-3560,9171.75,FURNITURE
4063,Customer#000004063,WQksIAKpAE KsbtwfdEEE,18,28-928-654-7379,7171.97,BUILDING
98141,Customer#000098141,7ObbAXTn7sE7Bikk6voviGMen2IpnEvRYu0B4I44,20,30-733-356-5195,7770.21,MACHINERY
79580,Customer#000079580,wCA7ZmYACV4eexORyetpy0tmaFNPreVdx4Ixja,19,29-982-476-8676,8566.40,HOUSEHOLD
29710,Customer#000029710,lRCXleGD4zcJHlmRWjjsGo7ojFDuWxVK5FaVVAbO,15,25-187-161-6894,-716.13,MACHINERY
12673,Customer#000012673,BVAwarzX4QLISUArvcm0 AbF4dnO8xkkfD,5,15-279-389-3713,3513.08,FURNITURE
117047,Customer#000117047,VgbXI072Nl6ST76De8A1,10,20-775-847-2483,2694.29,HOUSEHOLD
87574,Customer#000087574,6agGE X7wtS7J6v2UgVtiRKE,2,12-646-848-3966,3147.26,AUTOMOBILE
16964,Customer#000016964," ,Fc166oJBPtCUsoS",21,31-283-643-5795,6816.49,FURNITURE
63032,Customer#000063032,"IQqqFQcaZ,gNJDsVWamc5fRhiY8JUc3vI3",10,20-444-489-5643,260.61,BUILDING
100153,Customer#000100153,"pjo1tv2bll30R5GXD5Db8U,w",9,19-124-438-6948,6474.54,HOUSEHOLD
18784,Customer#000018784,a m5RtBJDSeQMADdXb1pYEIB6rsyvwPQkeVR,17,27-433-884-5593,2904.72,HOUSEHOLD
113587,Customer#000113587,czOqgI2snK0i75Pgy5WFeEyF2pqNKM0Z,8,18-454-120-3945,6629.86,BUILDING
143453,Customer#000143453,UaDAz911oJlZhO 056QmzJ9fh6,17,27-675-335-7331,7781.06,BUILDING
61183,Customer#000061183,oKQ8ve4Goaf7tllCslgQ,19,29-364-412-6132,1218.41,BUILDING
28042,Customer#000028042,HIJmrlKs5J3fgZoMcu,22,32-764-387-1465,3196.28,HOUSEHOLD
3683,Customer#000003683,"va7bIiHh61DB,f",17,27-375-182-2945,6876.64,AUTOMOBILE
57728,Customer#000057728,"Lom2Ka,V4iA",5,15-468-965-7225,9886.78,FURNITURE
131554,Customer#000131554,DGSL dquJtk2LOnsXGbn169,13,23-873-450-1353,4596.29,AUTOMOBILE
38764,Customer#000038764,"c, 2zVHc,UJzyw3D5ejmQQAohGhpUghfHsgPnrA",22,32-529-732-2355,2104.62,AUTOMOBILE
